unified_observation_id;source_id;dataset_id;source_observation_id;latitude;longitude;coord_x;coord_y;crs;country;state;sample_date;sample_year;sample_period_start;sample_period_end;depth_top_cm;depth_bottom_cm;layer_thickness_cm;carbon_content_g_kg;carbon_analysis_method;carbon_stock_kg_m2;carbon_stock_mg_ha;bulk_density_g_cm3;coarse_fragments_fraction;carbon_stock_00_05;carbon_stock_05_15;carbon_stock_15_30;carbon_stock_30_60;carbon_stock_60_100;target_kind;target_value;target_unit;derivation_method;quality_flag;duplicate_group_id;duplicate_status;duplicate_resolution
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:16:10-20:carbon_stock:estc_ah;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;10;20;10;;Oxidação úmida - Yeomans-Bremner (1988);;3.28;;;;;;;;carbon_stock:estc_ah;3.28;Mg/ha;reported_layer_stock_by_source;ok;dup-000860;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:16:10-20:carbon_stock:estc_hum;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;10;20;10;;Oxidação úmida - Yeomans-Bremner (1988);;6.77;;;;;;;;carbon_stock:estc_hum;6.77;Mg/ha;reported_layer_stock_by_source;ok;dup-000861;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:16:10-20:carbon_fraction:c_mop;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;10;20;10;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mop;2.41;g/kg;reported_carbon_fraction_by_source;ok;dup-000858;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:16:10-20:carbon_fraction:c_mom;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;10;20;10;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mom;7.79;g/kg;reported_carbon_fraction_by_source;ok;dup-000857;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Antropizada 1:600:camada:10:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Antropizada 1;-15.781305555555557;-43.299305555555556;-43.299305555555556;-15.781305555555557;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;8.34;Não informado;;;1.4;;;;;;;carbon_content;8.34;g/kg;reported_or_unit_converted_by_source;ok;dup-000217;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Antropizada 2:600:camada:11:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Antropizada 2;-15.78132777777778;-43.29933333333333;-43.29933333333333;-15.78132777777778;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;8.49;Não informado;;;1.38;;;;;;;carbon_content;8.49;g/kg;reported_or_unit_converted_by_source;ok;dup-000218;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Antropizada 3:600:camada:12:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Antropizada 3;-15.781333333333334;-43.29937222222222;-43.29937222222222;-15.781333333333334;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;10.1;Não informado;;;1.36;;;;;;;carbon_content;10.1;g/kg;reported_or_unit_converted_by_source;ok;dup-000219;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Preservada 1:600:camada:13:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Preservada 1;-15.781461111111112;-43.299480555555554;-43.299480555555554;-15.781461111111112;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;17;Não informado;;;1.4;;;;;;;carbon_content;17;g/kg;reported_or_unit_converted_by_source;ok;dup-000221;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Preservada 2:600:camada:14:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Preservada 2;-15.781444444444446;-43.29961111111111;-43.29961111111111;-15.781444444444446;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;27.8;Não informado;;;1.3;;;;;;;carbon_content;27.8;g/kg;reported_or_unit_converted_by_source;ok;dup-000220;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/NSZ9WW:600:evento+600:camada:Preservada 3:600:camada:15:0-5:carbon_content;soildata_dataset;doi:10.60502/SoilData/NSZ9WW;Preservada 3;-15.781291666666668;-43.299549999999996;-43.299549999999996;-15.781291666666668;EPSG:4326;Brazil;MG;;2011;2011;2011;0;5;5;32.3;Não informado;;;1.12;;;;;;;carbon_content;32.3;g/kg;reported_or_unit_converted_by_source;ok;dup-000216;active;retained_ambiguous_overlap:identifier_conflict
soildata_dataset:doi:10.60502/SoilData/YOHSMZ:568:dados.tab:458.0:00-10:0-10:carbon_content;soildata_dataset;doi:10.60502/SoilData/YOHSMZ;458.0;-7.811916653;-35.84208332;-35.84208332;-7.811916653;EPSG:4326;Brazil;;;;;;0;10;10;36.381019;Combustão seca - analisador elementar;;;;;;;;;;carbon_content;36.381019;g/kg;reported_or_unit_converted_by_source;ok;dup-001404;active;retained_ambiguous_overlap:discordant_target_value
