UNIFIED_OBSERVATION_ID;SOURCE_ID;DATASET_ID;SOURCE_OBSERVATION_ID;LATITUDE;LONGITUDE;ORIGINAL_DEPTH_TOP_CM;ORIGINAL_DEPTH_BOTTOM_CM;DEPTH_TOP_CM;DEPTH_BOTTOM_CM;BULK_DENSITY_G_CM3;CARBON_CONTENT_G_KG;OUTPUT_STATUS;EXCLUSION_REASON
israd_brazil:israd_flat_layer:ISRaD_data_flat_layer_v 2.9.9.2025-08-14.csv:James_2019:LF_Eucalyptus:LF_Eucalyptus_3-0:-3-0:total_carbon_content;israd_brazil;israd_flat_layer;James_2019:LF_Eucalyptus:LF_Eucalyptus_3-0;-22.837222;-48.421861;-3;0;-3;0;0.018982;187.74;excluded;organic_surface_layer_with_bulk_density_below_mineral_limit
israd_brazil:israd_flat_layer:ISRaD_data_flat_layer_v 2.9.9.2025-08-14.csv:James_2019:LF_Cerrado:LF_Cerrado_4-0:-4-0:total_carbon_content;israd_brazil;israd_flat_layer;James_2019:LF_Cerrado:LF_Cerrado_4-0;-22.837222;-48.421861;-4;0;-4;0;0.01698;161.615;excluded;organic_surface_layer_with_bulk_density_below_mineral_limit
