SOURCE_ID;DATASET_ID;LATITUDE;LONGITUDE;CRS;COUNTRY;STATE;SAMPLE_DATE;SAMPLE_YEAR;Stock_00_05;Stock_05_15;Stock_15_30;Stock_30_60;Stock_60_100;PROFILE_LAYER_COUNT_INPUT;PROFILE_LAYER_COUNT_USED;EXACT_DUPLICATE_LAYER_COUNT;OVERLAPPING_INPUT_LAYERS;DEPTH_HARMONIZATION_METHOD;SPLINE_SUPPORTED;SPLINE_REASON;SPLINE_LAMBDA;SPLINE_RESCALE_FACTOR;SPLINE_PRE_RESCALE_MASS_BALANCE_ERROR_PCT;STANDARD_DEPTH_REFERENCE_STOCK_Mg_ha;STANDARD_DEPTH_OUTPUT_STOCK_Mg_ha;MASS_BALANCE_ERROR_PCT;EXTRAPOLATED;COVERAGE_00_05;COVERAGE_05_15;COVERAGE_15_30;COVERAGE_30_60;COVERAGE_60_100;OVERLAP_REFERENCE_Stock_00_05;OVERLAP_REFERENCE_Stock_05_15;OVERLAP_REFERENCE_Stock_15_30;OVERLAP_REFERENCE_Stock_30_60;OVERLAP_REFERENCE_Stock_60_100
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.357063;-53.660742;EPSG:4326;Brazil;RS;;;13.0093068836;17.772331867;22.7153750692;45.9556921801;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9932532021;0.6792626365;99.452706;99.452706;0;false;1;1;1;1;0;13.339872;16.7522945;23.3149415;46.045598;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.354245;-53.660514;EPSG:4326;Brazil;RS;;;8.2785472482;5.244286355;8.3318648875;18.4244855092;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9873825385;1.2778696245;40.279184;40.279184;0;false;1;1;1;1;0;8.774163;4.2581325;9.087677;18.1592115;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.354027;-53.661044;EPSG:4326;Brazil;RS;;;7.5214504315;11.2061416634;12.6839465432;14.0980603619;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9834522074;1.682622959;45.509599;45.509599;0;false;1;1;1;1;0;7.770088;10.810607;11.9828655;14.9460385;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353977;-53.661269;EPSG:4326;Brazil;RS;;;7.9840623696;10.7607853799;15.2028791842;27.7734060664;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9935613492;0.6480375709;61.721133;61.721133;0;false;1;1;1;1;0;8.208432;10.2749525;15.329087;27.9086615;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.352952;-53.658391;EPSG:4326;Brazil;RS;;;13.5437971888;15.8568126343;19.7785275662;33.6508286106;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9880665005;1.2077627858;82.829966;82.829966;0;false;1;1;1;1;0;14.081115;14.7560765;19.775278;34.2174965;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.352681;-53.66068;EPSG:4326;Brazil;RS;;;8.393251061;11.3603271171;15.1405385659;34.4203012561;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9956246432;0.4394584656;69.314418;69.314418;0;false;1;1;1;1;0;8.573889;10.613184;16.062;34.065345;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351617;-53.660631;EPSG:4326;Brazil;RS;;;9.804082995;12.0838170654;16.0034980463;34.2217698932;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9934842124;0.6558521536;72.113168;72.113168;0;false;1;1;1;1;0;10.105589;11.2629665;16.5652905;34.179322;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348637;-53.659895;EPSG:4326;Brazil;RS;;;10.0542168997;12.1767330083;14.9858652926;40.2162927994;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9953280476;0.4693882029;77.433108;77.433108;0;false;1;1;1;1;0;10.329483;11.1311755;16.167655;39.8047945;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348873;-53.662074;EPSG:4326;Brazil;RS;;;8.9219839863;15.1766629011;19.1497194422;37.2108026704;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9949506598;0.5074965391;80.459169;80.459169;0;false;1;1;1;1;0;9.011218;14.6200325;19.5321065;37.295812;
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.3482;-53.66011;EPSG:4326;Brazil;RS;;;8.2427641949;13.5768783381;19.396927935;38.5168735319;;5;5;0;false;equal_area_spline;true;applied;0.1;0.9972023739;0.2805474769;79.733444;79.733444;0;false;1;1;1;1;0;8.346695;13.2114465;19.716116;38.4591865;
